word,part_of_speech,definition
canonize,verb,verb: to declare someone a saint; to treat as sacred or authoritative
cantankerous,adjective,adjective: ill-humored; irritable
capacious,adjective,adjective: able to hold a great deal; spacious and roomy
capacity,noun,noun: mental or physical ability; role; position or duty; ability to accommodate
caparison,noun,"noun: an ornamental covering or rich decoration, especially for a horse"
capitulate,verb,verb: surrender; give up all resistance
capricious,adjective,adjective: unpredictable; fickle
captious,adjective,adjective: faultfinding; too critical
cardinal,adjective,adjective: chief; most important
caret,noun,noun: a mark used by an author or editor to indicate where something is to be inserted into a text
caricatured,adjective,adjective: represent in or produce a caricature of
carping,adjective,adjective: petty criticism; fault-finding; fretful complaining; quibble
cartographer,noun,noun: a person who makes maps or charts
cartography,noun,noun: the making of maps and charts
castigate,noun,noun: censure severely; inflict severe punishment on
castigation,adjective,adjective: punishment; severe criticism or disapproval
cataclysm,noun,noun: deluge; upheaval; earthquake; violent and sudden event or change
cataclysmic,adjective,adjective: severely destructive
catalyst,noun,noun: agent which brings about a chemical change while it remains unaffected and unchanged
caterwaul,noun; adjective,"noun; adjective: the yowling sound made by a cat in heat; utter shrieks, as of cats"
caterwauling,adjective,"adjective: utter shrieks, as of cats"
cathartic,adjective,adjective: purgative; medicine that causes the bowels to empty
catholic,adjective,adjective: (of likings and interests) universal; general; broad; including many different parts
causal,adjective,adjective: implying a cause-and-effect relationship
caustic,adjective,adjective: burning; corrosive; able to burn by chemical action; sarcastically biting
cavalier,noun,noun: casual and offhand; arrogant
cavil,verb,verb: quibble; make frivolous objections; find fault unnecessarily
cede,verb,verb: yield (title or territory) to (esp. after losing a war); surrender formally
celerity,noun,noun: speed; rapidity
censor,noun,noun: (in ancient Rome) overseer of morals (also taking the census); person who eliminates inappropriate matter
censure,verb,verb: blame; criticize; express strong disapproval
centrifuge,noun,noun: machine that separates substances by whirling them
cerebral,adjective,adjective: pertaining to the brain or intellect; intellectual rather than emotional
chagrin,noun,noun: annoyance and disappointment; vexation (caused by humiliation or injured pride)
champion,verb,verb: support militantly; fight for
charlatan,noun,noun: quack; pretender to knowledge (esp. in medicine)
chary,adjective,adjective: cautious; unwilling to take risks; sparing or restrained about giving; OP. bold
chasten,noun,noun: discipline; punish in order to correct
chastise,verb,verb: punish as by beating; criticize severely
chauvinism,noun,noun: fanatical patriotism; activity indicative of belief in the superiority of men over women
chauvinist,noun,"noun: blindly devoted patriot; zealous adherent of a group, cause, or sex"
chauvinistic,adjective,adjective: of or relating to persons convinced of the superiority of their own gender or kind; fanatically patriotic
check,verb,verb: stop motion; curb or restrain
checkered,adjective,adjective: patterned with alternating squares of color; marked by changeable fortune
cherish,noun,noun: be fond of; be attached to
chicanery,noun,noun: trickery; deception
chide,verb,verb: scold; rebuke (someone who has done wrong)
chimera,noun,noun: a fanciful illusion or impossible dream; a grotesque imaginary creature
chivalrous,adjective,adjective: courteous; faithful; brave
choleric,adjective,adjective: hot-tempered; bad-tempered; irritable; easily angered
chortle,noun,noun: chuckle with delight
chronological,adjective,adjective: arranged in the order in which events occurred
churlish,noun,noun: boorish; rude; yahoo
cinematic,adjective,"adjective: having qualities associated with movies, especially dramatic visual style"
circuitous,adjective,"adjective: indirect, roundabout, or not taking the most direct route"
circumlocution,noun,noun: indirect or roundabout expression (by using an uncecessarily large number of words especially when trying to avoid answering a difficult question directly)
circumscribe,verb,verb: limit; confine; draw a line around
circumscribed,verb,verb: subject to limits or subjected to limits; draw a line around
circumspect,noun,noun: prudent; cautious; acting after careful thought
circumvent,verb,verb: outwit; defeat by behaving more cleverly; outsmart; baffle
circumvents,noun,noun: surround so as to force to give up; beat through cleverness and wit
clairvoyant,adjective,adjective: having foresight; fortuneteller
clamber,noun,noun: climb by crawling with difficulties; scramble
clamor,noun,noun: loud continous noise; continuous demand or complaint made by a large number of people
clamorous,adjective,adjective: conspicuously and offensively loud; given to vehement outcry
clandestine,noun,"noun: kept secret, especially because it is improper or illegal"
clangor,noun,noun: loud resounding noise; sound of repeated clanging
clangorous,adjective,adjective: having a loud resonant metallic sound
cleave,noun,noun: split or sever; cling to; remain faithful to
clemency,noun,noun: disposition to be lenient in deciding punishments; mildness as of the weather
climatic,adjective,adjective: of or relating to a climate
climax,noun,noun: the highest point of anything conceived of as growing or developing or unfolding; the decisive moment in a novel or play
clinch,noun; verb,noun; verb: a decisive action or conclusion; a close hold in boxing; to settle conclusively; to fasten firmly
cloak,noun,noun: anything that covers or conceals; a loose outer garment
cloying,adjective,adjective: distasteful (because excessive); excessively sweet or sentimental
coagulate,noun,noun: congeal; thicken; clot
coalesce,verb,verb: combine; fuse
cocksure,adjective,adjective: marked by excessive confidence
coda,noun,noun: concluding section of a musical or literary composition
